YearsExperience,Education,JobRole,OrgSize,Location,Age,Gender,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith
19.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineering manager;Product manager;Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Viet Nam,35-44 years old,Man,90000000.0,Monthly,VND	Vietnamese dong,Elixir;Erlang;HTML/CSS;JavaScript;SQL
10.0,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test",100 to 499 employees,Viet Nam,25-34 years old,Man,5000000.0,Monthly,VND	Vietnamese dong,Go;JavaScript;SQL
5.0,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,18-24 years old,Man,10000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;VBA
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack","5,000 to 9,999 employees",Viet Nam,25-34 years old,Man,320000000.0,Yearly,VND	Vietnamese dong,C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
4.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,25-34 years old,Man,40000000.0,Monthly,VND	Vietnamese dong,Elixir
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Data scientist or machine learning specialist;Developer, back-end;Data or business analyst",20 to 99 employees,Viet Nam,25-34 years old,Man,8000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript
3.0,Some college/university study without earning a degree,"Engineer, data;Data scientist or machine learning specialist",100 to 499 employees,Viet Nam,18-24 years old,Man,16500000.0,Monthly,VND	Vietnamese dong,Python
16.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, mobile;Developer, full-stack;Developer, back-end;Database administrator",20 to 99 employees,Viet Nam,25-34 years old,Man,50000000.0,Monthly,VND	Vietnamese dong,Go;JavaScript;Node.js
2.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,25-34 years old,Man,13000000.0,Monthly,VND	Vietnamese dong,JavaScript;Python;SQL
6.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,18-24 years old,Man,13000000.0,Monthly,VND	Vietnamese dong,HTML/CSS;JavaScript;Python;SQL
1.0,Some college/university study without earning a degree,"Developer, front-end",10 to 19 employees,Viet Nam,18-24 years old,Man,8000000.0,Monthly,VND	Vietnamese dong,Dart;HTML/CSS;JavaScript
10.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, desktop or enterprise applications;Engineer, data;Data scientist or machine learning specialist",100 to 499 employees,Viet Nam,18-24 years old,Man,15000000.0,Monthly,VND	Vietnamese dong,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python;SQL
10.0,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",500 to 999 employees,Viet Nam,25-34 years old,Man,100000000.0,Monthly,VND	Vietnamese dong,JavaScript;PHP;Python;Ruby
3.0,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Student","10,000 or more employees",Viet Nam,18-24 years old,Man,12500000.0,Monthly,VND	Vietnamese dong,HTML/CSS;Java;JavaScript;SQL;TypeScript
